repo,url,usa_git_flow,usa_trunk_based,tem_tags,tem_releases
SFTtech/openage,https://github.com/SFTtech/openage,False,True,True,True
rwv/chinese-dos-games,https://github.com/rwv/chinese-dos-games,False,True,False,False
AirtestProject/Airtest,https://github.com/AirtestProject/Airtest,False,False,True,True
yenchenlin/DeepLearningFlappyBird,https://github.com/yenchenlin/DeepLearningFlappyBird,False,False,False,False
CharlesPikachu/Games,https://github.com/CharlesPikachu/Games,False,True,True,True
TakWolf/ark-pixel-font,https://github.com/TakWolf/ark-pixel-font,True,False,True,True
datamllab/rlcard,https://github.com/datamllab/rlcard,False,True,True,True
lxgr-linux/pokete,https://github.com/lxgr-linux/pokete,False,False,True,True
gmh5225/awesome-game-security,https://github.com/gmh5225/awesome-game-security,False,False,False,False
plbrault/youre-the-os,https://github.com/plbrault/youre-the-os,False,False,True,True
AirtestProject/Poco,https://github.com/AirtestProject/Poco,False,True,True,True
chuyangliu/snake,https://github.com/chuyangliu/snake,False,True,False,False
TakWolf/fusion-pixel-font,https://github.com/TakWolf/fusion-pixel-font,True,False,True,True
unknown-horizons/unknown-horizons,https://github.com/unknown-horizons/unknown-horizons,False,False,True,True
glumpy/glumpy,https://github.com/glumpy/glumpy,False,True,True,True
ntasfi/PyGame-Learning-Environment,https://github.com/ntasfi/PyGame-Learning-Environment,False,False,False,False
OTFCG/Awesome-Game-Analysis,https://github.com/OTFCG/Awesome-Game-Analysis,False,True,False,False
mpcabete/bombcrypto-bot,https://github.com/mpcabete/bombcrypto-bot,False,False,False,False
bfontaine/term2048,https://github.com/bfontaine/term2048,False,False,True,False
Trilarion/opensourcegames,https://github.com/Trilarion/opensourcegames,False,True,False,False
LoveDaisy/tetris_game,https://github.com/LoveDaisy/tetris_game,False,True,False,False
learnbyexample/TUI-apps,https://github.com/learnbyexample/TUI-apps,False,True,False,False
maxpumperla/betago,https://github.com/maxpumperla/betago,False,False,True,False
EmbraceAGI/LifeReloaded,https://github.com/EmbraceAGI/LifeReloaded,False,True,True,False
kidscancode/pygame_tutorials,https://github.com/kidscancode/pygame_tutorials,False,True,False,False
CharlesPikachu/AIGames,https://github.com/CharlesPikachu/AIGames,False,False,False,False
efroemling/ballistica,https://github.com/efroemling/ballistica,False,True,True,True
ppizarror/pygame-menu,https://github.com/ppizarror/pygame-menu,False,False,True,True
shlomif/PySolFC,https://github.com/shlomif/PySolFC,False,False,True,True
sotetsuk/pgx,https://github.com/sotetsuk/pgx,False,False,True,True
opendilab/GoBigger,https://github.com/opendilab/GoBigger,False,False,True,True
Fuyukai/OWAPI,https://github.com/Fuyukai/OWAPI,False,True,True,False
Cledersonbc/tic-tac-toe-minimax,https://github.com/Cledersonbc/tic-tac-toe-minimax,False,False,False,False
remyroy/CDDA-Game-Launcher,https://github.com/remyroy/CDDA-Game-Launcher,False,True,True,True
fofix/fofix,https://github.com/fofix/fofix,False,False,True,True
fyyakaxyy/AnimationGPT,https://github.com/fyyakaxyy/AnimationGPT,False,True,False,False
singularity/singularity,https://github.com/singularity/singularity,False,False,True,True
surya-veer/movement-tracking,https://github.com/surya-veer/movement-tracking,False,True,False,False
Frimkron/mud-pi,https://github.com/Frimkron/mud-pi,False,True,False,False
drvinceknight/Nashpy,https://github.com/drvinceknight/Nashpy,False,False,True,True
iholston/lol-bot,https://github.com/iholston/lol-bot,False,False,True,True
hrpan/tetris_mcts,https://github.com/hrpan/tetris_mcts,False,True,False,False
yangshun/2048-python,https://github.com/yangshun/2048-python,False,True,False,False
uoftcprg/pokerkit,https://github.com/uoftcprg/pokerkit,False,False,True,True
EthanH3514/AL_Yolo,https://github.com/EthanH3514/AL_Yolo,False,True,True,False
pokemonchw/dieloli,https://github.com/pokemonchw/dieloli,False,False,True,True
itspyguru/Python-Games,https://github.com/itspyguru/Python-Games,False,True,False,False
Aa-bN/AimYolo,https://github.com/Aa-bN/AimYolo,False,True,False,False
the-tale/the-tale,https://github.com/the-tale/the-tale,True,False,True,False
vegu-ai/talemate,https://github.com/vegu-ai/talemate,False,False,True,True
BadagalaAdarsh/Super_Mario,https://github.com/BadagalaAdarsh/Super_Mario,False,True,False,False
hanmin0822/RaphaelScriptHelper,https://github.com/hanmin0822/RaphaelScriptHelper,False,True,False,False
piqueserver/piqueserver,https://github.com/piqueserver/piqueserver,False,False,True,True
SirFroweey/PyDark,https://github.com/SirFroweey/PyDark,False,True,False,False
MestreLion/humblebundle,https://github.com/MestreLion/humblebundle,False,True,True,True
AlexandreSajus/Quadcopter-AI,https://github.com/AlexandreSajus/Quadcopter-AI,False,True,False,False
itsapi/pycraft,https://github.com/itsapi/pycraft,False,False,True,True
MasterGroosha/telegram-casino-bot,https://github.com/MasterGroosha/telegram-casino-bot,False,False,True,True
wrkzcoin/TipBot,https://github.com/wrkzcoin/TipBot,False,False,True,True
harfang3d/dogfight-sandbox-hg2,https://github.com/harfang3d/dogfight-sandbox-hg2,False,False,True,True
sbordeyne/rpg-text,https://github.com/sbordeyne/rpg-text,False,True,False,False
DuGuYifei/Yolo_FPS_AICheatPrinciple,https://github.com/DuGuYifei/Yolo_FPS_AICheatPrinciple,False,False,False,False
openfootmanager/openfootmanager,https://github.com/openfootmanager/openfootmanager,True,False,False,False
LingDong-/Hermit,https://github.com/LingDong-/Hermit,False,True,True,True
YuriyGuts/snake-ai-reinforcement,https://github.com/YuriyGuts/snake-ai-reinforcement,False,True,True,True
minecraft-py/minecraft,https://github.com/minecraft-py/minecraft,False,True,False,False
DiscordGSM/GameServerMonitor,https://github.com/DiscordGSM/GameServerMonitor,False,False,True,True
DiscordGSM/DiscordGSM,https://github.com/DiscordGSM/DiscordGSM,False,True,True,True
nszdhd1/UtilScript,https://github.com/nszdhd1/UtilScript,False,True,False,False
Gautam-J/Self-Driving-Car,https://github.com/Gautam-J/Self-Driving-Car,False,True,False,False
remance/Masendor,https://github.com/remance/Masendor,False,True,True,True
stolencatkarma/CataclysmLD,https://github.com/stolencatkarma/CataclysmLD,False,True,False,False
ripexz/python-tkinter-minesweeper,https://github.com/ripexz/python-tkinter-minesweeper,False,True,True,True
rr-/pq-cli,https://github.com/rr-/pq-cli,False,False,True,False
diplomacy/diplomacy,https://github.com/diplomacy/diplomacy,False,False,True,True
coppolaemilio/Stellar,https://github.com/coppolaemilio/Stellar,False,True,False,False
YogurtTheHorse/RogueBot,https://github.com/YogurtTheHorse/RogueBot,False,False,False,False
TakWolf/retro-pixel-font,https://github.com/TakWolf/retro-pixel-font,True,False,True,True
lykoss/lykos,https://github.com/lykoss/lykos,False,False,True,True
chxj1992/hortor-cheater,https://github.com/chxj1992/hortor-cheater,False,True,False,False
nikp06/subwAI,https://github.com/nikp06/subwAI,False,True,False,False
aqeelanwar/Tic-Tac-Toe,https://github.com/aqeelanwar/Tic-Tac-Toe,False,True,False,False
swarfarm/swarfarm,https://github.com/swarfarm/swarfarm,False,False,False,False
Talendar/flappy-bird-gym,https://github.com/Talendar/flappy-bird-gym,False,True,True,True
steve1316/granblue-automation-pyautogui,https://github.com/steve1316/granblue-automation-pyautogui,False,False,True,True
MarechJ/hll_rcon_tool,https://github.com/MarechJ/hll_rcon_tool,True,False,True,True
Kjuly/iPokeMon-Server,https://github.com/Kjuly/iPokeMon-Server,False,True,False,False
DrGFreeman/rps-cv,https://github.com/DrGFreeman/rps-cv,False,True,False,False
QPong/QPong,https://github.com/QPong/QPong,True,False,True,True
RuolinZheng08/renpy-rhythm,https://github.com/RuolinZheng08/renpy-rhythm,False,True,False,False
Flowtter/crispy,https://github.com/Flowtter/crispy,False,False,True,True
niyue/skillmap,https://github.com/niyue/skillmap,False,True,True,True
Xchiliarch/Highfleet-Chinese-localization,https://github.com/Xchiliarch/Highfleet-Chinese-localization,False,True,True,True
BattlesnakeOfficial/starter-snake-python,https://github.com/BattlesnakeOfficial/starter-snake-python,False,True,False,False
alpharaoh/AmongUsBot,https://github.com/alpharaoh/AmongUsBot,False,True,True,True
jonburesh/sintelgame,https://github.com/jonburesh/sintelgame,False,True,True,True
MasterGroosha/telegram-bombsweeper-bot,https://github.com/MasterGroosha/telegram-bombsweeper-bot,False,False,True,True
danielkrupinski/OneByteRadar,https://github.com/danielkrupinski/OneByteRadar,False,True,False,False
PYmili/MyFlowingFireflyWife,https://github.com/PYmili/MyFlowingFireflyWife,False,True,True,True
Hellisotherpeople/Language-games,https://github.com/Hellisotherpeople/Language-games,False,True,False,False
